Model: densenet201
Image shape: (224, 224, 3)
Batch size: 16
Dataset: /app/data/Datasets/augmented_trash_and_other
Number of classes: 2

Epoch,Accuracy,Validation Accuracy, Loss, Validation Loss
73,0.9261363744735718,0.9352940917015076,0.2318912148475647,0.18883933126926422
74,0.9431818127632141,0.936274528503418,0.1919020563364029,0.1878993660211563
75,0.9204545617103577,0.8892157077789307,0.22481344640254974,0.27832353115081787
76,0.8863636255264282,0.9225490093231201,0.2233409881591797,0.20424602925777435
77,0.875,0.9196078181266785,0.242180734872818,0.20875805616378784
78,0.9375,0.9382352828979492,0.19342710077762604,0.19757018983364105
79,0.9488636255264282,0.9382352828979492,0.1803727000951767,0.18503668904304504
80,0.9147727489471436,0.9372549057006836,0.19991403818130493,0.20167222619056702
81,0.9147727489471436,0.927450954914093,0.21243877708911896,0.18895334005355835
82,0.9659090638160706,0.9401960968971252,0.14276555180549622,0.18265554308891296
83,0.9545454382896423,0.9078431129455566,0.1817110925912857,0.22928979992866516
